内容,时间,分词,情感分值,情感类型
最win的一条,2023-02-08 12:55,一条,0.4594,pos
人家学校早这样了，输。,2023-02-08 12:57,学校,0.6978,pos
奈斯,2023-02-09 12:13,奈斯,0.7652,pos
实在不行保卫科一份检讨,2023-02-10 11:17,实在 不行 保卫科 一份 检讨,0.0204,neg
请问郑大的非全日制法硕（非法学）上课方式，感激不尽,2021-05-05 19:08,请问 郑大 非全日制 法硕 非法 上课 方式 感激不尽,0.2752,neg
集中上课，每年四月和九月上课,2021-08-17 17:04,上课 四月 九月 上课,0.217,neg
有宿管招聘的吗？我一亲戚，女，想干宿管，谢谢,2022-10-05 22:38,宿管 招聘 亲戚 想干 宿管 谢谢,0.6222,pos
学生一般接触不到这些信息，得去问相关工作人员,2022-10-06 00:04,学生 接触 不到 信息 相关 工作人员,0.1166,neg
谢谢，目前我是进不去呀，疫情,2022-10-06 02:40,谢谢 进不去 疫情,0.3719,pos
郑州大学招宿管阿姨吗？,2023-02-04 00:58,郑州大学 招宿管 阿姨,0.6263,pos
前几天看微博  刚毕业去做宿管阿姨  某微博还在吹嘘……,2023-02-10 10:42,几天 看微博 毕业 宿管 阿姨 某微博 吹嘘,0.3069,neg
开学第一周？第二周？好心人say一下,2023-02-09 23:17,开学 第一周 第二周 好心人,0.8911,pos
专业课一般二十左右，大概20-23,2023-02-10 10:10,专业课 二十,0.1409,neg
下学期 有想做家教的同学吗   孩子挣点生活费,2023-02-10 10:10,下学期 家教 同学 孩子 挣点 生活费,0.1009,neg
zzu大win特win！这波我字词zzu,2022-12-31 02:19,这波 字词,0.2501,neg
郑清北岂是浪得虚名,2022-12-31 10:53,郑清北 浪得虚名,0.1517,neg
本科，win,2022-12-31 12:09,本科,0.7152,pos
淡季贴吧,2022-12-31 12:24,淡季,0.8796,pos
不如加入专科篇当第一,2022-12-31 13:10,专科 第一,0.7755,pos
河u输麻了,2022-12-31 13:59,输麻,0.4489,pos
荷兰赢！,2022-12-31 14:14,荷兰,0.2307,neg
郑大的宣传太强了  佩服佩服,2023-01-06 22:50,郑大 宣传 太强 佩服 佩服,0.7526,pos
儿子,2023-02-09 12:22,儿子,0.7209,pos
经验q,2023-02-08 08:05,经验,0.4586,pos
今天简历筛选截止？,2023-02-10 07:42,简历 筛选 截止,0.2924,neg
郑专惊现罕见服装，是哪位小罕见出罕见服装了,2023-02-08 13:44,郑专 惊现 罕见 服装 哪位 罕见 罕见 服装,0.0138,neg
请党放心，强国有我,2023-02-08 13:46,请党 放心 强国,0.9591,pos
我超，莲！,2023-02-08 16:53,我超,0.835,pos
感觉...不如甘雨cos,2023-02-08 18:00,感觉 甘雨,0.4758,pos
我们zzu真是人才聚集地,2023-02-08 18:41,人才 聚集地,0.6567,pos
我的评价是不如充气娃娃,2023-02-09 22:02,评价 充气 娃娃,0.7376,pos
求郑大考试上车群,2023-02-09 21:35,郑大 考试 上车,0.7085,pos
学弟学妹们，学校开学没，开车能进去玩不？,2023-02-09 21:02,学弟 学妹 学校 开学 开车,0.8946,pos
插眼,2023-02-09 21:19,插眼,0.6214,pos
请问最晚几点回来,2023-02-08 16:25,请问 几点 回来,0.4201,pos
第二天再回可以嘛,2023-02-08 16:43,第二天,0.4846,pos
另外有学长知道各个门都几点关门嘛？,2023-02-08 16:56,学长 几点 关门,0.2115,neg
请问这在哪问的,2023-02-09 13:32,请问,0.2475,neg
听说早6晚11,2023-02-09 18:42,听说,0.5221,pos
回来晚了直接劝退,2023-02-09 19:35,回来 劝退,0.7917,pos
有没有已经毕业的学长学姐，郑大研究生挂科重修过了之后成绩单上面有显示挂科吗？影响找工作吗,2022-09-23 18:02,有没有 毕业 学长 学姐 郑大 研究生 挂科 重修 成绩单 显示 挂科 影响 工作,0.963,pos
有答案吗,2023-02-09 17:13,答案,0.6555,pos
多考几十分谁来郑大啊,2023-02-02 08:40,多考 几十分 郑大,0.7854,pos
远离双吧贵物🤮🤮,2023-02-02 09:15,远离 贵物,0.1639,neg
因为考不上其他学校,2023-02-02 09:19,考不上 学校,0.2571,neg
我国院计科的 我看我们19年招了120人 13个保研的 没5％这么低吧,2023-02-02 09:29,我国 院计科 保研,0.5836,pos
喜欢郑大,2023-02-02 09:38,喜欢 郑大,0.9621,pos
第一学府,2023-02-02 09:47,第一 学府,0.905,pos
跟双一流吧的鬼屋聊什么呢有啥意思,2023-02-02 11:32,一流 鬼屋 啥意思,0.8618,pos
靠，我国际学院最低分进来的，你还让我多考几十分？,2023-02-02 12:09,国际 学院 最低 多考 几十分,0.3862,pos
我怎么不多赚几个亿去养老呢,2023-02-02 12:10,不多 几个 亿去 养老,0.0497,neg
大水比,2023-02-02 12:23,大水,0.409,pos
远离贵物,2023-02-02 12:31,远离 贵物,0.1639,neg
对不起，做不到😭,2023-02-02 14:29,对不起 不到,0.0411,neg
能多考几十分我还在这,2023-02-09 16:06,能多考 几十分,0.7003,pos
往年是大一上，今年情况特殊不知道,2023-02-09 08:38,往年 一上 情况,0.2585,neg
第一学期,2023-02-09 12:05,第一 学期,0.7176,pos
大一上，之后据说还可以留级转专业，具体情况可以问导员,2023-02-09 16:04,大一上 留级 专业 具体情况 问导员,0.5382,pos
像计算机科学导论，双语计算机这种看起来就是水课的要考吗？,2023-02-09 15:12,计算机科学 导论 双语 计算机 水课,0.8659,pos
裕华满园公寓房东直租，有需要可以联系我v：G1239015683,2023-02-09 15:08,裕华 满园 公寓 房东 直租,0.6922,pos
新校区有草地可以晒太阳吗,2023-02-05 10:58,校区 草地 晒太阳,0.9684,pos
你要是不嫌埋汰就有,2023-02-05 11:40,埋汰,0.0488,neg
厚山南坡，北核北面都有草坪,2023-02-05 11:48,山南坡 北核 北面 草坪,0.6619,pos
有，厚山那里和学校东南边都有,2023-02-05 12:03,厚山 学校 东南边,0.7005,pos
东南大草坪,2023-02-05 18:02,东南 草坪,0.6002,pos
有森林,2023-02-09 13:32,森林,0.6163,pos
有没有知道郑大松园宿舍椅子的尺寸啊，我把新生手册丢了，现在想买个靠垫,2023-02-06 21:28,有没有 郑大松园 宿舍 椅子 尺寸 新生 手册 想买个 靠垫,0.8007,pos
不如自己买个椅子,2023-02-07 10:16,买个 椅子,0.3805,pos
我们宿舍的椅子大小都不一样,2023-02-09 12:24,宿舍 椅子 大小,0.6327,pos
有没有药学院的学长学姐出大一下的课本和白皮啊,2023-02-09 10:59,有没有 药学院 学长 学姐 出大 课本 白皮,0.8434,pos
问问你当时辅导员吧,2023-02-07 18:36,问问 辅导员,0.1808,neg
🈚️毕业证，不知道,2023-02-08 00:45,毕业证,0.1544,neg
不方便 很繁琐,2023-02-08 08:27,繁琐,0.0842,neg
打办事大厅电话咨询一下 好像有专门窗口处理这事,2023-02-08 12:11,办事 大厅 电话 咨询 好像 窗口,0.3291,neg
主校区出电卡，床上书桌，上学期开学宿舍一块买的，疫情封寝没咋用，这学期要出去实习了，一张五十多次的，两张七八十次的，还有两张一百次没用的，电卡买一张送十次，两张送三十次，书桌也是没咋用，桌子30r，坐标新校区，十一号开学可拿，要的私,2023-02-08 14:26,校区 出电卡 床上 书桌 学期 开学 宿舍 一块 疫情 封寝 学期 实习 一张 五十 两张 七八十次 两张 一百次 没用 电卡买 一张 十次 两张 三十次 书桌 桌子 坐标 校区 十一号 开学,0.6475,pos
我要两张电卡,2023-02-09 02:48,我要 两张 电卡,0.6202,pos
目前只有选择题的,2022-11-19 20:09,选择题,0.3856,pos
up🆙拜托,2023-02-08 19:42,拜托,0.264,neg
每个院的本科新生群都有的,2023-02-08 22:11,本科 新生,0.9127,pos
福利，但是吧这是合约，等于20个月内你不能携号转网，降低资费等一系列操作，,2022-12-26 15:05,福利 合约 等于 携号 转网 降低 资费 一系列 操作,0.933,pos
联通营业厅在育博楼下  找人问下就行,2022-12-26 15:12,联通 营业厅 在育博 楼下 找人 问下,0.3005,neg
不办校园卡598套餐学渣羡慕不已,2022-12-26 15:34,不办 校园卡 套餐 学渣 羡慕,0.9767,pos
不太清楚啊,2023-02-04 00:09,不太,0.0841,neg
我就是这个套餐，感觉还蛮划算的，就是偶尔网有点慢,2023-02-08 21:31,套餐 感觉 划算,0.9718,pos
就一个报告册答案还要5r出，这种人是穷疯了还是觉得别人都傻啊，你说你要是整个代写代抄也河里，你不，你非要赚傻子的钱，希望看到这条帖子的鼠鼠可以避开这种dinner,2023-02-08 20:01,报告 答案 代写 代抄 河里 非要 傻子 希望 帖子 鼠鼠 避开,0.0137,neg
我看有多少人，楼下滴一声，人多的话我拉你们。,2023-02-06 14:01,楼下 一声 人多,0.2602,neg
rt:今天大一选课，楼主用了n个密码都显示错误，点忘记密码输入我的qq邮箱又显示邮箱错误，有没有8u有解决办法,2023-02-08 14:59,大一 选课 楼主 密码 显示 错误 忘记 密码 输入 邮箱 显示 邮箱 错误 有没有 解决办法,0.0167,neg
建议试试身份证后六位，再不济就移动校园平台登录选课,2023-02-08 16:04,建议 试试 身份证 六位 不济 校园 平台 登录 选课,0.6681,pos
求兼职👗 谢谢,2023-02-08 10:00,兼职 谢谢,0.925,pos
求租北校一卡通，要二战了,2023-02-08 17:35,求租北校 一卡通 二战,0.6624,pos
主校区出电卡，床上书桌，上学期开学宿舍一块买的，疫情封寝没咋用，这学期要出去实习了，一张五十多次的，两张七八十次的，还有两张一百次没用的，电卡买一张送十次，两张送三十次，书桌也是没咋用，桌子30r，坐标新校区，十一号开学可拿，要的私聊,2023-02-08 14:21,校区 出电卡 床上 书桌 学期 开学 宿舍 一块 疫情 封寝 学期 实习 一张 五十 两张 七八十次 两张 一百次 没用 电卡买 一张 十次 两张 三十次 书桌 桌子 坐标 校区 十一号 开学 私聊,0.9341,pos
今天选课发现有的课选的人好少，害怕开不了课。,2023-02-07 10:35,选课 发现 课选 害怕,0.278,neg
好像是20人,2023-02-07 11:30,好像,0.5312,pos
低于20人不开课,2023-02-08 14:44,低于 开课,0.3309,neg
人工器官与组织的奥秘和力学中的诗与美好过吗？,2023-02-08 14:21,人工 器官 组织 奥秘 力学 美好,0.9736,pos
力学那个好,2023-02-08 14:42,力学,0.5512,pos
第一个没上过,2023-02-08 14:42,第一个 没上,0.4833,pos
刚来没有经验，发个帖问一下,2023-02-02 23:40,经验 发个,0.257,neg
我线上课都是顺便选的，基本都90多，线下课没选过不知道。,2023-02-03 10:02,我线 上课 顺便 下课 没选过,0.1327,neg
别选自然地理就行了,2023-02-03 12:35,别选 自然地理 就行了,0.4034,pos
校选修尽量选慕课的网课，好刷而且基本分都挺高,2023-02-03 18:01,选修 选慕课 网课 好刷,0.9508,pos
嫌麻烦就选网课，省事省心,2023-02-05 11:40,麻烦 选网 省事 省心,0.9772,pos
网课不是可以刷,2023-02-08 10:49,网课,0.6904,pos
这情况正常吗,2023-02-03 00:26,情况,0.256,neg
我有一科必修还没出呢,2023-02-03 08:12,一科 必修 没出,0.503,pos
估计挂科了吧，挂科的院选修看不到成绩,2023-02-06 14:25,估计 挂科 挂科 选修 看不到 成绩,0.3228,neg
估计挂科了吧，挂科的院选修看不见成绩,2023-02-06 14:25,估计 挂科 挂科 选修 看不见 成绩,0.5877,pos
可能是老师没给教务处成绩,2023-02-08 13:18,老师 教务处 成绩,0.9151,pos
各位学长学姐们有什么经验之谈吗，对了，我是北校区的,2023-02-02 17:38,学长 学姐 经验之谈 北校区,0.9765,pos
网课，犯罪现象，线下课，营养与健康,2023-02-02 18:31,网课 犯罪 现象 下课 营养 健康,0.547,pos
对了，我的基因与健康98，老师,2023-02-02 18:31,基因 健康 老师,0.9845,pos
选线上，智慧树,2023-02-03 08:12,选线 智慧,0.9681,pos
别选自然地理鞋鞋,2023-02-03 11:38,别选 自然地理 鞋鞋,0.4636,pos
选个慕课完事了,2023-02-03 14:54,选个 慕课 完事,0.1072,neg
还有什么工程建设理论工程实践的也不要选，一节课四五十分钟，开倍速都看不完,2023-02-07 09:18,工程建设 理论 工程 实践 一节课 四五十 分钟 倍速 看不完,0.0998,neg
保卫处到底准备干什么？？我的电车咋办啊！！,2018-06-27 11:58,保卫处 干什么 电车 咋办,0.205,neg
老哥你可以寄存到我们南区 或者卖给我,2018-06-27 12:20,老哥 寄存 南区,0.534,pos
收车 晚了卖不出去了 私聊,2018-06-27 12:21,收车 卖不出去 私聊,0.1931,neg
老哥，电动车怎么卖？,2018-06-27 12:46,老哥 电动车,0.509,pos
电车咋卖，想入手一辆上班骑,2018-06-27 12:47,电车 入手 一辆 上班,0.9461,pos
可以卖给吗。轻院的,2018-06-27 12:52,轻院,0.65,pos
收车的这么多年找个出价高的卖了呗,2018-06-27 12:53,收车 多年 找个 出价,0.1151,neg
保卫处卖你的车赚钱啊,2018-06-27 13:24,保卫处 赚钱,0.2465,neg
学校在布双一流的局,2018-06-27 13:38,学校 布双 一流,0.9922,pos
以后郑大都用平衡车吧,2018-06-27 14:09,平衡,0.7834,pos
什么样的电动车多少钱卖,2018-06-27 15:00,电动车 钱卖,0.0703,neg
我刚刚看到保卫处公告没了,2018-06-27 15:01,刚刚 保卫处 公告,0.5154,pos
河南工业大学了解一下,2018-06-27 15:08,河南 工业 大学,0.8663,pos
政策撤销了,2018-06-27 15:11,政策 撤销,0.1825,neg
什么车，想收。怎么联系,2018-06-27 16:09,想收,0.3862,pos
有没有人知道没用完的电车充点卡可怎么处理,2018-06-27 16:28,有没有 没用 电车 点卡,0.0137,neg
出个红色鬼火，新换电池，可以骑五天,2018-06-27 16:56,出个 红色 鬼火 新换 电池 五天,0.0505,neg
保卫处收钱了信么,2018-06-27 17:12,保卫处 收钱,0.2063,neg
保卫处公告没了，执行不执行还两回事呢,2018-06-27 17:51,保卫处 公告 执行 执行 两回事,0.0195,neg
北校区，想问问有没有这类资讯墙或者账号，孩子想看看校园新鲜事，或者有些问题的时候想咨询一下这样子,2023-02-08 08:16,北校区 问问 有没有 资讯 账号 孩子 校园 新鲜事 咨询 样子,0.824,pos
我是隔壁粮专的，想问问贵校开学封不封校。,2023-02-05 23:57,隔壁 粮专 问问 贵校 开学 封不封校,0.1444,neg
好像有导员说不封,2023-02-08 00:09,好像 有导员,0.5055,pos
去年翻墙约p导致南校区几千人被隔离的王女士学籍恢复了,2023-01-16 16:19,去年 翻墙 导致 南校区 几千人 隔离 王女士 学籍 恢复,0.3586,pos
xxn的含金量,2023-01-16 17:10,含金量,0.6366,pos
本来就没开除,2023-01-16 17:55,本来 开除,0.023,neg
真辞退了，让一个年轻人咋整……,2023-01-16 18:07,辞退 年轻人 咋整,0.0973,neg
？愿闻其翔,2023-01-17 08:10,愿闻 其翔,0.2361,neg
全靠你一张嘴是吧？,2023-01-17 14:20,全靠 张嘴,0.2449,neg
当时不是刑事拘留了吗,2023-01-26 12:58,刑事拘留,0.3445,neg
证据呢？,2023-01-27 01:30,证据,0.0751,neg
绿牌小鬼说的话不如黄牌放的屁真,2023-01-27 01:46,绿牌 小鬼 黄牌 屁真,0.0162,neg
确实,2023-01-28 11:19,确实,0.5207,pos
还记得当时国庆节假期低风险区学生不放假，某院辅导员却可以逛商场看风景，国庆节的假期不给请假，学生只能翻墙出去，感染了自然倒霉，这事现在掰扯对错说不清楚,2023-01-28 16:29,记得 国庆节 假期 风险 学生 放假 某院 辅导员 逛商场 风景 国庆节 假期 请假 学生 只能 翻墙 感染 自然 倒霉 对错 说不清楚,0.0151,neg
证据呢？,2023-01-30 07:19,证据,0.0751,neg
郑大是这样的,2023-01-30 11:13,郑大是,0.6068,pos
明知其无可奈何而安之若命,2023-01-30 14:23,明知 无可奈何 安之若命,0.4918,pos
约p?我了解的是去串通外星人入侵地球。,2023-01-30 23:18,串通 外星人 入侵 地球,0.0198,neg
按现在的角度看，本来也没多大错,2023-01-31 07:56,角度看 本来 没多大错,0.417,pos
上证据,2023-01-31 09:08,证据,0.0751,neg
我对你真无语,2023-01-31 09:30,真无语,0.0142,neg
来点真凭实据,2023-01-31 11:47,真凭实据,0.5047,pos
当时听说那个女的让室友代做核酸,2023-01-31 12:02,听说 室友 代做 核酸,0.5452,pos
一级号showshowway,2023-01-31 20:00,一级,0.7406,pos
事不关己,2023-01-31 22:00,事不关己,0.3016,neg
xxn真牛。要是南人估计直接进局子,2023-02-08 07:57,真牛 估计 局子,0.565,pos
双航母都有小黑子了，师专赢赢赢,2023-02-07 13:17,航母 小黑子 师专,0.7045,pos
这dinner吹河踩郑我都碰到多少回了，不知道是不是河大的,2023-02-07 22:07,吹河 碰到 河大,0.2694,neg
南校区的柜子大概多宽呀,2023-02-07 21:51,南校区 柜子,0.2678,neg
想了解一下非全日制公共卫生硕士的上课方式，有没有方便告知的，谢谢,2021-03-17 09:37,非全日制 公共卫生 硕士 上课 方式 有没有 告知 谢谢,0.8138,pos
目前是跟着全日制集中上课，并非周六周日上课,2021-03-17 09:45,跟着 全日制 上课 周六 周日 上课,0.7826,pos
终于找到组织了 想问一下学长学姐郑大公卫咋样啊 压不压分啥的,2021-07-14 08:03,终于 找到 组织 学长 学姐 大公 咋样 压分,0.9692,pos
分享贴子,2023-02-07 14:53,分享 贴子,0.8336,pos
毕业学长今天下午想去学校看看，有办法的私我,2023-02-07 14:52,毕业 学长 今天下午 学校 办法,0.956,pos
咱学校能不能两个人同楼同学院互换宿舍啊，辅导员同意了，就是问下流程,2023-02-06 16:06,学校 两个 人同 楼同 学院 互换 宿舍 辅导员 同意 流程,0.2924,neg
顶个,2023-02-06 19:01,顶个,0.8238,pos
你就是不同园区换宿舍也可以，只要导员同意就行，让导员往上打报告呗,2023-02-06 23:59,园区 宿舍 导员 同意 就行 导员往 报告,0.073,neg
不涉及住宿费补差就没什么  两个宿舍如果有人不同意  也麻烦,2023-02-07 08:04,涉及 住宿费 补差 没什么 两个 宿舍 有人 同意 麻烦,0.0806,neg
正常流程你看宿舍楼门口  都有调换宿舍流程,2023-02-07 08:05,流程 宿舍楼 门口 调换 宿舍 流程,0.848,pos
随便换就行,2023-02-07 14:14,随便,0.2242,neg
转租谦祥·万和城B区单间。月租280元，水费均摊，电费自负，网费免费，四面实体墙，合租户安静不闹，有大窗，12平，还有6个月到期，有意者电联:130-6959-0535。,2023-02-07 14:01,转租 谦祥 万和城 单间 月租 水费 均摊 电费 自负 网费 免费 四面 实体墙 合租 安静 不闹 有大窗 到期 有意者 电联,0.709,pos
兄弟姐妹们，郑大的软件学院和信息工程学院都在哪个校区呀？百度了，一下，发现有好几个地址哎,2021-09-16 16:51,兄弟姐妹 郑大 软件 学院 信息 工程学院 校区 百度 发现 好几个 地址,0.5524,pos
软件学院在北校区,2021-09-16 17:15,软件 学院 北校区,0.7629,pos
软院在北区，信工在主校区,2021-09-16 17:28,软院 北区 信工 校区,0.9092,pos
信工在中原区,2021-09-16 19:19,信工 中原区,0.6096,pos
国际学院（就是南校区）应该也有自己计算机相关专业吧,2021-09-17 01:56,国际 学院 南校区 计算机相关 专业,0.815,pos
我来给你说明白。信息工程学院目前总体在新校区，院里有计算机，电子通信等专业。南校区有信息工程学院的老楼，里面有河南省超算中心，还有几个研究院。如果你是本科生，都在新校区。如果你考郑大研究生，超算中心方向的一般在南校区(也不一定，看导师)。另外一个就是北校区，北校区是软件学院和国际学院工学部。分别有有本科专业信息安全和 计科电子通信等的中外合作办学。,2021-09-17 08:39,我来 明白 信息 工程学院 总体 校区 院里 计算机 电子 通信 专业 南校区 信息 工程学院 老楼 河南省 超算 中心 几个 研究院 本科生 校区 郑大 研究生 超算 中心 方向 南校区 导师 北校区 北校区 软件 学院 国际 学院 工学 本科专业 信息安全 计科 电子 通信 中外合作 办学,0.9639,pos
看情况你应该是考研。你报信工院的话，部分在新校区，部分在南校区(看方向和导师，这个真不一定)。你报软件学院的话，大概率在北校区，也有极少量的在新校区(跟导师),2021-09-17 08:42,情况 考研 报信 工院 校区 南校区 方向 导师 软件 学院 概率 北校区 极少量 校区 导师,0.9485,pos
有zzu的计科学长学姐群吗，蹲,2023-02-07 13:34,科学 学姐,0.9513,pos
线下的校选课选完以后 过了选课时间段还能退选吗,2023-02-07 11:46,线下 选课 选完 选课 时间段 退选,0.3611,pos
请问有郑大附一的学长学姐或者本科实习的同学吗，想请教一些问题，可有偿！救救孩子吧,2023-02-07 07:58,请问 郑大附 学长 学姐 本科 实习 同学 请教 有偿 救救 孩子,0.7862,pos
咱们郑大的主校区有哪几栋教学楼的教室是可以去自习的呀  想下学期多去教室自习  图书馆占座不好占,2023-02-05 18:47,郑大 校区 几栋 教学楼 教室 自习 下学期 多去 教室 自习 图书馆 占座 不好,0.9763,pos
教室不是随便去，只要不是有老师上课就行,2023-02-06 09:47,教室 随便 老师上课 就行,0.4955,pos
喜欢人少安静的氛围可以去南四，喜欢人多的学习氛围可以去环保管,2023-02-06 13:09,喜欢 人少 安静 氛围 南四 喜欢 人多 学习 氛围 环保,0.9944,pos
没上课就能进，教务系统能查空闲教室,2023-02-07 11:31,上课 教务 系统 能查 空闲 教室,0.6409,pos
我也想租房子，19943813624微信同手机号，马上要搬去郑州大学东校区了，想租一个房子，想找一个女室友一起看房子，有需要的可以加微信了解了解,2023-01-06 23:57,租房子 微信同 手机号 郑州大学 东校区 想租 房子 室友 房子 加微信,0.4463,pos
打扰了，出租次卧，自己房子，无中介费，郑州大学家属院，视野好，采光好，地铁口，盛和苑西门过马路就到郑州大学！拎包入住！24小时热水，空调家具家电齐全…wifi免费！15903627898  ，谢谢,2023-02-07 10:28,打扰 出租 房子 中介费 郑州大学 家属院 视野 采光 地铁口 盛和苑 西门 马路 郑州大学 拎包 入住 小时 热水 空调 家具 家电 齐全 免费 谢谢,0.9775,pos
楼主今年考郑大信工的研究生，成绩还不错，应该稳上。求助各位有没有推荐的老师,2022-02-22 07:22,楼主 郑大信工 研究生 成绩 不错 稳上 求助 有没有 推荐 老师,0.9967,pos
郑州大学信息工程学院王法松（本人人格担保），提前联系,2022-10-21 13:29,郑州大学 信息 工程学院 王法 人格担保 提前,0.102,neg
赢在起跑线上，还有300多天，地址在下面图片上。考研真题网专注帮助考研学子上岸,2023-02-06 12:38,起跑线 多天 地址 图片 考研 真题 专注 考研 学子 上岸,0.9324,pos
求助，期末评教的时候忘记填期中的，结果判断为期末评教未完成，查不到成绩怎么办,2023-02-06 18:05,求助 期末 评教 忘记 期中 判断 期末 评教 查不到 成绩,0.8771,pos
点所有学期成绩就能看到了,2023-02-06 20:02,学期成绩,0.8148,pos
有木有人回答一下现在对外开放吗?,2023-02-06 18:45,有木 有人 回答 对外开放,0.4165,pos
附近住户，想去郑大图书馆学习两个月,2023-02-06 10:44,住户 郑大 图书馆 学习 两个,0.7147,pos
"加v:1126305878,同求，我带你进。不忽悠",2023-02-06 17:44,同求 忽悠,0.0665,neg
大家发表下自己的看法,2023-02-06 14:25,发表 看法,0.1115,neg
加州大学也行,2023-02-06 14:26,加州大学,0.6529,pos
中州大学＝ZZU＝郑州大学,2023-02-06 17:21,中州 大学 郑州大学,0.8519,pos
主要做资料的整理 会议记录 每天的施工进度上报记录 工作地点在郑大 科学大道校区 会用电脑word Excel 就可，有意愿时间的详聊,2023-02-04 14:59,资料 整理 会议记录 施工进度 上报 记录 工作 地点 郑大 科学 大道 校区 电脑 意愿 时间 详聊,0.9714,pos
做工程资料的吧？可以居家远程办公嘛？,2023-02-05 16:56,工程 资料 居家 远程 办公,0.8141,pos
具体工作怎么说？待遇如何？ 是要求在校生兼职，还是？,2023-02-06 15:15,工作 待遇 在校生 兼职,0.2662,neg
郑大仪器仪表专硕值得报考吗？学科评估c都没有，毕业是不是认可度不高啊，毕业后工资怎么样呢，求解答！,2023-02-06 13:57,郑大 仪器仪表 专硕 值得 报考 学科 评估 毕业 认可度 不高 毕业 工资 解答,0.9902,pos
想知道17号过去能进学校吗，然后我就准备过去考个试就回家了。有知道的吗？,2023-02-06 13:52,能进 学校 考个 回家,0.7835,pos
外校生怎么进学校的图书馆呀？,2023-01-11 22:19,外校 学校 图书馆,0.9646,pos
私信，我带你进去，不忽悠，我只想找个朋友，缓解备考之苦,2023-02-03 21:42,私信 忽悠 找个 朋友 缓解 备考 之苦,0.2189,neg
图书馆不好进吧要刷学生卡,2023-02-06 11:34,图书馆 不好 学生,0.1359,neg
有没有🐭🐭说下自己院开学考试时间的 怎么看口腔19开学就开始考 不要吓🐭🐭,2023-01-31 20:19,有没有 开学 考试 时间 口腔 开学,0.9094,pos
我们开学第一周就考，不拖沓，不限定周末,2023-01-31 20:31,开学 第一周 拖沓 限定 周末,0.6835,pos
你是19级口腔吗？,2023-01-31 20:31,口腔,0.8087,pos
商院18号,2023-01-31 22:35,商院,0.5812,pos
还好我就剩公修课了😋,2023-02-01 14:13,还好 剩公 修课,0.614,pos
院里没通知,2023-02-06 10:36,院里 通知,0.5884,pos
就是学分课挂了,2023-02-04 18:46,学分 课挂,0.2075,neg
校选修课无影响，挂了就挂了无所谓，院选修我看他们说是有影响的,2023-02-06 10:29,选修课 影响 无所谓 选修 影响,0.0171,neg
大家好呀～本人男，98年哒，身高182，75kg，健身，本科211，硕士顶尖985，未来准备留在北京发展。家是河南的，性格温和活泼，真心想找一个可爱的女孩子接触一下，希望对方性格温良，可爱一点，我愿带着你走遍山川湖海，阅尽世间繁华，一起做成长型恋人吧！真诚想认识一个人，附上QQ 3522365146,2023-02-06 10:28,身高 健身 本科 硕士 顶尖 未来 留在 北京 发展 河南 性格 温和 活泼 心想 可爱 女孩子 接触 希望 性格 温良 可爱 一点 我愿 走遍 山川 湖海 阅尽 世间 繁华 成长型 恋人 真诚 附上,0.9984,pos
家里有一个非常有钱的亲戚，互联网公司的，有个喜欢跳舞的女儿，染了一头白毛还带点挑染，今天他们一家来我们家串门。,2023-01-31 20:03,家里 有钱 亲戚 互联网 公司 有个 喜欢 跳舞 女儿 一头 白毛 带点 挑染 一家 串门,0.5865,pos
给我介绍一个,2023-02-06 09:19,介绍,0.7225,pos
打个👢先,2023-02-04 00:27,打个,0.3501,pos
看我不把你打成bot,2023-02-04 01:24,打成,0.4457,pos
在？跟我个迈阿密玩玩,2023-02-04 06:57,迈阿密 玩玩,0.8774,pos
原神在那么你了，动不动就说,2023-02-04 13:39,原神,0.6105,pos
报备出入,2023-02-05 12:39,报备 出入,0.2591,neg
特别是女孩子爱美选择隐形眼镜，长时间下来对眼睛伤害很大，危险系数存在安全隐患，像现在有的孩子初期假性近视，用产品一段时间后可以慢慢好的，发现小问题要及时治疗不能拖,2023-02-05 15:08,特别 女孩子 爱美 选择 隐形眼镜 长时间 眼睛 伤害 很大 危险 系数 安全隐患 孩子 初期 假性近视 产品 一段时间 慢慢 发现 治疗,0.9233,pos
吧友们，荷园宿舍能用小功率吹风机吗？,2023-01-31 14:09,友们 荷园 宿舍 能用 功率 吹风机,0.8629,pos
好像不能，之前我室友用过一回，结果跳闸了，被宿管阿姨批评了一顿,2023-02-05 11:42,好像 室友 用过 一回 跳闸 宿管 阿姨 批评 一顿,0.0536,neg
要买票了,2023-02-05 11:46,买票,0.4178,pos
老铁做什么细锁,2023-02-05 11:19,老铁 细锁,0.2413,neg
你好，不知道,2023-01-30 14:45,你好,0.7452,pos
你好，不知道,2023-01-30 17:53,你好,0.7452,pos
开学可以自由外出吗  都大三了还没怎么享受生活,2023-02-05 00:00,开学 自由 外出 大三 享受 生活,0.9964,pos
郑大新校区这边网球场对外开放吗？怎么进去？,2023-02-04 17:52,郑大新 校区 网球场 对外开放,0.9801,pos
请问大类专业的学生可以转其他专业吗,2022-07-22 01:32,请问 专业 学生 专业,0.8319,pos
可以，我当时转的时候就属于土木大类,2022-07-22 10:09,土木,0.7552,pos
球球，2022大一计算机实验报告书电子版，想打印出来。谢谢烙铁们🥰🥰,2023-02-04 13:38,球球 大一 计算机 实验 报告书 电子版 打印 谢谢 烙铁,0.9442,pos
有偿的 求求了,2023-02-04 13:53,有偿 求求,0.7023,pos
